fecha,categoria,producto,unidades_vendidas,precio_unitario,estado
2024-01-03,Bebidas,Coca-Cola 600ml,48,19.50,Nuevo León
2024-01-05,Snacks,Sabritas Original 45g,35,14.00,Chihuahua
2024-01-07,Lácteos,Leche Lala Entera 1L,60,24.50,Jalisco
2024-01-09,Limpieza,Fabuloso Lavanda 500ml,22,28.00,CDMX
2024-01-12,Bebidas,Gatorade 600ml,30,25.00,Sonora
2024-01-15,Snacks,Takis Fuego 62g,55,17.50,Coahuila
2024-01-18,Lácteos,Yogurt Danone 150g,40,13.00,Guanajuato
2024-01-20,Limpieza,Detergente Roma 500g,18,32.00,Estado de México
2024-01-23,Bebidas,Agua Ciel 1L,75,12.00,Tamaulipas
2024-01-26,Snacks,Doritos Nacho 65g,42,18.50,Nuevo León
2024-01-29,Lácteos,Queso Panela 400g,25,68.00,Sinaloa
2024-02-02,Limpieza,Ajax Limón 500g,14,35.00,Jalisco
2024-02-05,Bebidas,Jumex Naranja 500ml,38,16.00,Querétaro
2024-02-07,Snacks,Ruffles Queso 45g,50,14.00,CDMX
2024-02-10,Lácteos,Crema Lala 200g,33,22.00,Chihuahua
2024-02-13,Limpieza,Cif Crema 450ml,20,42.00,Nuevo León
2024-02-15,Bebidas,Café Nescafé 3en1,45,8.50,Coahuila
2024-02-18,Snacks,Cheetos Torciditos 62g,60,17.00,Estado de México
2024-02-21,Lácteos,Mantequilla Alpura 90g,28,38.00,Sonora
2024-02-24,Limpieza,Pinol Lavanda 500ml,16,45.00,Guanajuato
2024-02-27,Bebidas,Coca-Cola 600ml,52,19.50,Tamaulipas
2024-03-01,Snacks,Sabritas Original 45g,44,14.00,Sinaloa
2024-03-04,Lácteos,Leche Lala Entera 1L,70,24.50,Jalisco
2024-03-07,Limpieza,Fabuloso Lavanda 500ml,25,28.00,CDMX
2024-03-10,Bebidas,Gatorade 600ml,35,25.00,Nuevo León
2024-03-13,Snacks,Takis Fuego 62g,65,17.50,Chihuahua
2024-03-16,Lácteos,Yogurt Danone 150g,48,13.00,Querétaro
2024-03-19,Limpieza,Detergente Roma 500g,22,32.00,Coahuila
2024-03-22,Bebidas,Agua Ciel 1L,80,12.00,Estado de México
2024-03-25,Snacks,Doritos Nacho 65g,38,18.50,Sonora
2024-03-28,Lácteos,Queso Panela 400g,20,68.00,Guanajuato
2024-04-02,Limpieza,Ajax Limón 500g,17,35.00,Tamaulipas
2024-04-05,Bebidas,Jumex Naranja 500ml,42,16.00,Sinaloa
2024-04-08,Snacks,Ruffles Queso 45g,55,14.00,Nuevo León
2024-04-11,Lácteos,Crema Lala 200g,30,22.00,Jalisco
2024-04-14,Limpieza,Cif Crema 450ml,12,42.00,CDMX
2024-04-17,Bebidas,Café Nescafé 3en1,50,8.50,Chihuahua
2024-04-20,Snacks,Cheetos Torciditos 62g,70,17.00,Estado de México
2024-04-23,Lácteos,Mantequilla Alpura 90g,22,38.00,Querétaro
2024-04-26,Limpieza,Pinol Lavanda 500ml,19,45.00,Coahuila
2024-05-02,Bebidas,Coca-Cola 600ml,58,19.50,Sonora
2024-05-06,Snacks,Sabritas Original 45g,48,14.00,Tamaulipas
2024-05-10,Lácteos,Leche Lala Entera 1L,65,24.50,Sinaloa
2024-05-14,Limpieza,Fabuloso Lavanda 500ml,28,28.00,Guanajuato
2024-05-18,Bebidas,Gatorade 600ml,40,25.00,Nuevo León
2024-05-22,Snacks,Takis Fuego 62g,72,17.50,Jalisco
2024-05-26,Lácteos,Yogurt Danone 150g,55,13.00,CDMX
2024-05-30,Limpieza,Detergente Roma 500g,20,32.00,Chihuahua
2024-06-05,Bebidas,Agua Ciel 1L,90,12.00,Estado de México
2024-06-15,Snacks,Doritos Nacho 65g,45,18.50,Querétaro
